"Compound name","Smiles","logkp (cm/s)","skin source type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI","LogP","molecular weight"
n-Hexyl nicotinate,CCCCCCOC(=O)c1cccnc1,-5.303,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,2.8187000000000015,207.125928784
Triglycol nicotinate,OCCOCCOCCOC(=O)c1cccnc1,-8.561,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,0.2638999999999996,255.110672644
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,-5.696,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,1.3101,180.042258736
Atropine,OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C,-7.676,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,1.9308999999999998,289.167793596
Benzoic acid,OC(=O)c1ccccc1,-5.156,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,1.3848,122.036779432
Diclofenac,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-6.556,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,4.364100000000001,295.01668395200005
Ibuprofen,CC(Cc1ccc(cc1)C(C(=O)O)C)C,-4.996,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,3.073200000000001,206.130679816
Methyl nicotinate,COC(=O)c1cccnc1,-5.966,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,0.8681999999999999,137.047678464
Naproxen,COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,-6.096,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,3.036500000000001,230.094294308
Nicotine,CN1CCCC1c1cccnc1,-6.036,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,1.8483,162.115698448
Salicylic acid,OC(=O)c1ccccc1O,-5.416,Abdominoplasty,abdomen,"epidermis, dermis",unknown,unknown,unknown,0,unknown,unknown,Water,37,7.4,PBS,Franz cell,"Degim, 1998",10.1016/S0378-5173(98)00113-6,1.0903999999999998,138.031694052
Etodolac,CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)O,-5.683,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,3.383000000000002,287.152143532
Famotidine,NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,-8.345,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,-0.7679999999999989,337.04493572000007
Ketoprofen,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,-6.768,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,3.1057000000000015,254.094294308
Nimesulide,[O-][N+](=O)c1ccc(c(c1)Oc1ccccc1)NS(=O)(=O)C,-6.551,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,2.7586000000000004,308.04669248399995
Nizatidine,CN/C(=C[N+](=O)[O-])/NCCSCc1csc(n1)CN(C)C,-7.981,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,1.3224999999999996,331.11366691200004
Ranitidine,CN/C(=C[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,-7.608,Abdominoplasty,abdomen,"epidermis, dermis",unknown,-70,21,0,32,unknown,unknown,37,7.4,PBS,Franz cell,"Degim, 2003",10.1002/jps.10312,1.4589999999999996,314.141261564
Theophylline,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,-7.125,Cadaver,thigh,"epidermis, dermis",dermatomed 300um,4,28,0,37,7.35,Water,37,7.4,PBS with sodium azide,Franz cell,"Dolezal, 1993",10.1023/A:1018914806761,-1.0397000000000005,180.064725496
"1,2,4-Benzenetriol",Oc1ccc(c(c1)O)O,-7.456,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,0.8033999999999997,126.031694052
Catechol,Oc1ccccc1O,-6.066,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,1.0977999999999999,110.036779432
Hydroquinone,Oc1ccc(cc1)O,-6.506,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,1.0977999999999999,110.036779432
Phenol,Oc1ccccc1,-5.586,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,1.3921999999999999,94.041864812
Phloroglucinol,Oc1cc(O)cc(c1)O,-6.066,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,0.8033999999999997,126.031694052
Pyrogallol,Oc1c(O)cccc1O,-6.366,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,0.8033999999999997,126.031694052
Resorcinol,Oc1cccc(c1)O,-6.626,Abdominoplasty,abdomen,epidermis,heat separation,-17,unknown,0,37,unknown,Water,37,7.4,PBS,Franz cell,"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,1.0977999999999999,110.036779432
Amphetamine,CC(Cc1ccccc1)N,-8.409,Cadaver,thigh,"epidermis, dermis","dermatomed 750um, hydrated",4,unknown,0,unknown,unknown,unknown,unknown,7,Ringer solution,Glass diffusion cell,"Galey, 1976",10.1111/1523-1747.ep12598596,1.5763,135.104799416
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-5.967,Cadaver,thigh,"epidermis, dermis","dermatomed 750um, hydrated",4,unknown,0,unknown,unknown,unknown,unknown,7,Ringer solution,Glass diffusion cell,"Galey, 1976",10.1111/1523-1747.ep12598596,3.609200000000002,272.177630008
Ouabain,OC[C@@]12[C@H](O)C[C@@H](C[C@@]2(O)CCC2C1[C@H](O)C[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,-8.959,Cadaver,thigh,"epidermis, dermis","dermatomed 750um, hydrated",4,unknown,0,unknown,unknown,unknown,unknown,7,Ringer solution,Glass diffusion cell,"Galey, 1976",10.1111/1523-1747.ep12598596,-1.5149999999999963,584.2832768479999
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-6.684,Cadaver,abdomen,epidermis,"heat separation, hydrated",-24,unknown,0,30,unknown,Ethanol,32,unknown,Ethanol,Semi-automated apparatus,"Goodman, 1988",10.1111/1523-1747.ep12475655,3.609200000000002,272.177630008
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-6.018,Cadaver,abdomen,epidermis,"heat separation, hydrated",-24,unknown,0,30,unknown,Water,32,unknown,Water,Semi-automated apparatus,"Goodman, 1988",10.1111/1523-1747.ep12475655,3.609200000000002,272.177630008
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-6.201,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,5.0,NaOH,37,7.4,PBS,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,1.1849999999999998,226.131742436
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-7.509,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,5.0,NaOH,37,7.4,PBS,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,0.15879999999999994,184.084792244
Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O,-7.268,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,5.0,NaOH,37,7.4,PBS,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,0.9389999999999998,212.116092372
Hydrocortisone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.481,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,unknown,Ethanol,37,unknown,Ethanol,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,1.7815999999999996,362.20932406
Isoquinoline,c1ccc2c(c1)cncc2,-5.332,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,7.4,NaOH,37,7.4,NaOH,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,2.2348,129.057849224
Nicotine,CN1CCCC1c1cccnc1,-5.27,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,9.2,NaOH,37,9.2,NaOH,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,1.8483,162.115698448
Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-6.9,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,5.0,NaOH,37,7.4,PBS,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,0.7003999999999997,232.084792244
Salicylic acid,OC(=O)c1ccccc1O,-5.76,Cadaver,abdomen,"epidermis, dermis",fat removed,4,0.5,0,30,3.0,HCl,37,3.0,HCl,Franz cell,"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,1.0903999999999998,138.031694052
Flufenamic acid,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,-6.194,Abdominoplasty,abdomen,epidermis,heat separation,-26,180,0,32,7.4,Sorensen buffer,32,7.4,PBS,Franz cell,"Henning, 2008",10.1159/000112958,4.147200000000001,281.06636322
5-Fluorouracil,Fc1c[nH]c(=O)[nH]c1=O,-7.297,Amputated limb,thigh,epidermis,heat separation,4,7,0,32,7.2,PBS,unknown,unknown,unknown,unknown,"Hirvonen, 1991",10.1023/a:1015824100788,-0.7977000000000001,130.017855556
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,-10.554,Amputated limb,thigh,epidermis,heat separation,4,7,0,32,7.2,PBS,unknown,unknown,unknown,unknown,"Hirvonen, 1991",10.1023/a:1015824100788,3.9273200000000026,357.07678567199997
Propranolol-HCl,OC(COc1cccc2c1cccc2)CNC(C)C.Cl,-11.436,Amputated limb,thigh,epidermis,heat separation,4,7,0,32,7.4,PBS,unknown,unknown,unknown,unknown,"Hirvonen, 1991",10.1023/a:1015824100788,2.999300000000001,295.13390662399996
Aldosterone,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.793,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Johnson, 1995",10.1002/jps.2600840922,1.8456999999999997,360.193673996
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-5.944,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Johnson, 1995",10.1002/jps.2600840922,3.609200000000002,272.177630008
Hydrocortisone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.195,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Johnson, 1995",10.1002/jps.2600840922,1.7815999999999996,362.20932406
Progesterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-5.079,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Johnson, 1995",10.1002/jps.2600840922,4.723500000000005,314.2245802
Corticosterone,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.556,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,PBS,unknown,7.4,PBS,Glass diffusion cell,"Johnson, 1996",10.1021/js960079z,2.6667000000000014,346.21440944
Dexamethasone,OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F,-7.75,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,PBS,unknown,7.4,PBS,Glass diffusion cell,"Johnson, 1996",10.1021/js960079z,1.8956999999999997,392.199902248
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-5.937,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,PBS,unknown,7.4,PBS,Glass diffusion cell,"Johnson, 1996",10.1021/js960079z,3.609200000000002,272.177630008
Lidocaine,CCN(CC(=O)Nc1c(C)cccc1C)CC,-5.958,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,PBS,unknown,7.4,PBS,Glass diffusion cell,"Johnson, 1996",10.1021/js960079z,2.5837400000000006,234.173213324
Testosterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-5.827,Cadaver,"abdomen, chest, back",epidermis,heat separation,5,7,0,unknown,unknown,PBS,unknown,7.4,PBS,Glass diffusion cell,"Johnson, 1996",10.1021/js960079z,3.8792000000000026,288.208930136
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-5.77,Abdominoplasty,abdomen,epidermis,heat separation,4,1,0,37,7.4,PBS,37,7.4,PBS,Glass diffusion cell,"Knutson, 1993",10.1016/0168-3659(93)90170-A,3.609200000000002,272.177630008
5-Aminolevulinic acid,NCC(=O)CCC(=O)O,-7.711,Abdominoplasty,abdomen,epidermis,heat separation,-20,60,0,35,7.4,HEPES,35,unknown,unknown,Glass diffusion cell,"Krishnan, 2011",10.1002/bip.21520,-0.6210000000000004,131.058243148
L-alanyl-L-tryptophan,OC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](N)C,-8.38,Abdominoplasty,abdomen,epidermis,heat separation,-20,60,0,35,7.4,HEPES,35,unknown,unknown,Glass diffusion cell,"Krishnan, 2011",10.1002/bip.21520,0.627,275.126991404
Betamethasone,OCC(=O)[C@@]1(O)[C@@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F,-7.153,Mammaplasty or cadaver,"abdomen, thigh, breast","epidermis, dermis",dermatomed 500um,4,4,0,37,4.5,Acetate solution,37,4.5,Acetate solution,Glass diffusion cell,"Kubota, 1993",10.1002/jps.2600821017,1.8956999999999997,392.199902248
Cytarabine,OC[C@H]1O[C@H]([C@H]([C@@H]1O)O)n1ccc(nc1=O)N,-8.856,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,32,7.4,PBS,32,7.4,PBS,Franz cell,"Legoabe, 2010",10.1211/jpp.62.06.0012,-2.5629999999999997,243.085520516
"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",OC[C@H]1O[C@H]([C@H]([C@H]1O)O)n1ccc(nc1=O)NC(=O)C,-6.889,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,32,7.4,PBS,32,7.4,PBS,Franz cell,"Legoabe, 2010",10.1211/jpp.62.06.0012,-2.186799999999999,285.0960852
"N4-hexanoyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",CCCCCC(=O)Nc1ccn(c(=O)n1)[C@@H]1O[C@@H]([C@@H]([C@@H]1O)O)CO,-5.737,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,32,7.4,PBS,32,7.4,PBS,Franz cell,"Legoabe, 2010",10.1211/jpp.62.06.0012,-0.6263999999999996,341.15868545599994
Dimethylethylamine,CCN(C)C,-6.079,Surgery,unknown,"epidermis, dermis",unknown,4,1,0,unknown,unknown,unknown,unknown,unknown,Hanks balanced salt solution,Teflon cell,"Lundh, 1997",10.1007/s004200050223,0.5679,73.08914935199999
Nortriptyline hydrocloride,CNCCC=C1c2ccccc2CCc2c1cccc2.Cl,-7.959,Abdominoplasty,abdomen,epidermis,heat separation,-26,90,0,unknown,5.5,PBS,unknown,5.5,PBS,Franz cell,"Melero, 2008",10.1016/j.ejpb.2007.11.012,4.248200000000004,299.144077384
Nortriptyline hydrocloride,CNCCC=C1c2ccccc2CCc2c1cccc2.Cl,-6.444,Abdominoplasty,abdomen,epidermis,heat separation,-26,90,0,unknown,7.4,PBS,unknown,7.4,PBS,Franz cell,"Melero, 2008",10.1016/j.ejpb.2007.11.012,4.248200000000004,299.144077384
Atropine,OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C,-8.635,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,8,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,1.9308999999999998,289.167793596
Chlorpheniramine,CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C,-6.216,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10.3,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,3.8186000000000027,274.123676288
Diethylcarbamazine,CCN(C(=O)N1CCN(CC1)C)CC,-7.459,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,0.6956,199.168462292
Digitoxin,O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,-8.442,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,7,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,3.2473000000000027,764.434692108
Ephedrine,CN[C@H]([C@@H](c1ccccc1)O)C,-5.778,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10.8,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,1.3278999999999999,165.1153641
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-5.829,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,7,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,3.609200000000002,272.177630008
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,-5.556,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,8,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,4.136700000000004,336.22016351599996
Nitroglycerin,[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-],-5.556,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,unknown,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,-1.0200999999999996,227.00257874
Ouabain,OC[C@@]12[C@H](O)C[C@@H](C[C@@]2(O)CCC2C1[C@H](O)C[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,-9.653,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,7,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,-1.5149999999999963,584.2832768479999
Scopolamine,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C,-7.852,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,9.6,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,0.9180999999999997,303.147058152
Chlorpheniramine,CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C,-6.491,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,3.8186000000000027,274.123676288
Ephedrine,CN[C@H]([C@@H](c1ccccc1)O)C,-5.778,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10.85,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,1.3278999999999999,165.1153641
Ephedrine,CN[C@H]([C@@H](c1ccccc1)O)C,-5.778,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,10.45,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,1.3278999999999999,165.1153641
Ephedrine,CN[C@H]([C@@H](c1ccccc1)O)C,-6.326,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,8.85,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,1.3278999999999999,165.1153641
Scopolamine,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C,-9.128,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,4,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,0.9180999999999997,303.147058152
Scopolamine,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C,-8.862,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,6.6,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,0.9180999999999997,303.147058152
Scopolamine,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C,-8.221,Cadaver,thigh,"epidermis, dermis",unknown,4,14,0,30,9.6,unknown,30,6.5,Ringer solution,Glass diffusion cell,"Michaels A. S., 1975",10.1002/aic.690210522,0.9180999999999997,303.147058152
Benzene,c1ccccc1,-4.352,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,1.6866,78.046950192
1-Butanol,CCCCO,-6.214,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,0.7787999999999999,74.07316494
Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,-7.556,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,-1.0293,194.08037556
Corticosterone,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.079,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,2.6667000000000014,346.21440944
Estradiol,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-6.051,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,3.609200000000002,272.177630008
Progesterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-5.442,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,4.723500000000005,314.2245802
Testosterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-6.214,Cadaver,"abdomen, back",epidermis,heat separation,4,7,0,25,unknown,PBS,25,unknown,PBS,Glass diffusion cell,"Mitragotri, 1995",10.1002/jps.2600840607,3.8792000000000026,288.208930136
Aldosterone,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.857,Cadaver,unknown,epidermis,heat separation,4,14,0,unknown,unknown,PBS,unknown,unknown,PBS,Franz cell,"Mitragotri, 1996",10.1023/A:1016096626810,1.8456999999999997,360.193673996
1-Butanol,CCCCO,-6.214,Cadaver,unknown,epidermis,heat separation,4,14,0,unknown,unknown,PBS,unknown,unknown,PBS,Franz cell,"Mitragotri, 1996",10.1023/A:1016096626810,0.7787999999999999,74.07316494
